route,date,daytype,rides,year,month,day,day_of_week,is_weekend,season,route_encoded,TMAX,TMIN,PRCP,SNOW,AWND,is_rainy,is_snowy,rides_lag_1,rides_lag_7,rides_rolling_7,high_load
90,2009-07-09,W,5241,2009,7,9,3,0,2,152,15.0,5.0,0.0,0.0,10.0,0,0,5423.0,5594.0,4352.142857142857,1
130,2022-05-30,U,98,2022,5,30,0,1,1,25,0.0,0.0,0.0,0.0,0.0,0,0,264.0,318.0,347.0,0
82,2024-10-07,W,13947,2024,10,7,0,0,3,143,0.0,0.0,0.0,0.0,0.0,0,0,5926.0,13710.0,11996.142857142857,0
56A,2001-01-26,W,555,2001,1,26,4,0,0,110,15.0,5.0,0.0,0.0,10.0,0,0,773.0,538.0,616.1428571428571,0
1,2005-11-15,W,3291,2005,11,15,1,0,3,0,15.0,5.0,0.0,0.0,10.0,0,0,3219.0,2298.0,3141.428571428572,1
20,2024-03-05,W,10564,2024,3,5,1,0,1,58,0.0,0.0,0.0,0.0,0.0,0,0,10066.0,11389.0,9611.57142857143,0
147,2024-01-30,W,9332,2024,1,30,1,0,0,36,0.0,0.0,0.0,0.0,0.0,0,0,8222.0,8166.0,7436.571428571428,0
171,2024-09-06,W,422,2024,9,6,4,0,3,50,0.0,0.0,0.0,0.0,0.0,0,0,453.0,356.0,675.1428571428571,0
172,2025-11-28,W,573,2025,11,28,4,0,3,51,0.0,0.0,0.0,0.0,0.0,0,0,219.0,2229.0,860.8571428571429,0
111,2003-01-24,W,5057,2003,1,24,4,0,0,9,15.0,5.0,0.0,0.0,10.0,0,0,5655.0,5937.0,4469.714285714285,1
37,2017-09-08,W,1261,2017,9,8,4,0,3,83,15.0,5.0,0.0,0.0,10.0,0,0,1406.0,1245.0,1290.571428571429,0
148,2015-03-26,W,2530,2015,3,26,3,0,1,37,15.0,5.0,0.0,0.0,10.0,0,0,2679.0,2711.0,2670.5714285714284,1
63W,2009-08-03,W,1956,2009,8,3,0,0,2,118,15.0,5.0,0.0,0.0,10.0,0,0,669.0,1907.0,1630.0,1
81W,2008-03-12,W,1609,2008,3,12,2,0,1,142,15.0,5.0,0.0,0.0,10.0,0,0,2120.0,2012.0,1499.571428571429,1
97,2023-02-23,W,1780,2023,2,23,3,0,0,162,0.0,0.0,0.0,0.0,0.0,0,0,1584.0,1578.0,1550.571428571429,0
97,2023-01-01,U,737,2023,1,1,6,1,0,162,0.0,0.0,0.0,0.0,0.0,0,0,1169.0,305.0,1255.428571428571,0
63W,2021-12-18,A,354,2021,12,18,5,1,0,118,0.0,0.0,0.0,0.0,0.0,0,0,1008.0,339.0,837.7142857142857,0
53,2004-01-15,W,21747,2004,1,15,3,0,0,100,15.0,5.0,0.0,0.0,10.0,0,0,20834.0,21044.0,18871.285714285717,1
97,2005-12-23,W,2561,2005,12,23,4,0,0,162,15.0,5.0,0.0,0.0,10.0,0,0,2967.0,3102.0,2732.5714285714284,0
59,2016-07-08,W,2960,2016,7,8,4,0,2,112,15.0,5.0,0.0,0.0,10.0,0,0,3064.0,2845.0,2749.5714285714284,0
55,2016-03-28,W,10350,2016,3,28,0,0,1,106,15.0,5.0,0.0,0.0,10.0,0,0,6003.0,10550.0,9074.285714285714,0
201,2009-09-28,W,1886,2009,9,28,0,0,3,60,15.0,5.0,0.0,0.0,10.0,0,0,899.0,800.0,1696.7142857142858,1
152,2004-08-27,W,9486,2004,8,27,4,0,2,40,15.0,5.0,0.0,0.0,10.0,0,0,10879.0,7921.0,8458.857142857143,1
11,2009-02-15,U,1730,2009,2,15,6,1,0,8,15.0,5.0,0.0,0.0,10.0,0,0,2322.0,1687.0,4746.285714285715,0
81W,2003-04-18,W,1479,2003,4,18,4,0,1,142,15.0,5.0,0.0,0.0,10.0,0,0,1796.0,1777.0,1512.857142857143,0
136,2006-03-24,W,1477,2006,3,24,4,0,1,29,15.0,5.0,0.0,0.0,10.0,0,0,1769.0,2188.0,1860.142857142857,0
85A,2012-09-20,W,1136,2012,9,20,3,0,3,146,15.0,5.0,0.0,0.0,10.0,0,0,908.0,974.0,833.8571428571429,1
49,2006-09-05,W,21862,2006,9,5,1,0,3,92,15.0,5.0,0.0,0.0,10.0,0,0,13790.0,18833.0,18324.85714285714,1
53A,2024-10-23,W,6627,2024,10,23,2,0,3,101,0.0,0.0,0.0,0.0,0.0,0,0,6700.0,6699.0,5421.571428571428,0
147,2009-05-23,A,12548,2009,5,23,5,1,1,36,15.0,5.0,0.0,0.0,10.0,0,0,16670.0,13523.0,15148.42857142857,1
81,2021-03-30,W,6054,2021,3,30,1,0,1,141,0.0,0.0,0.0,0.0,0.0,0,0,5734.0,5164.0,5097.857142857143,0
5,2007-02-24,A,263,2007,2,24,5,1,0,95,15.0,5.0,0.0,0.0,10.0,0,0,239.0,411.0,274.85714285714283,0
51,2013-07-11,W,1452,2013,7,11,3,0,2,97,15.0,5.0,0.0,0.0,10.0,0,0,1385.0,769.0,1132.142857142857,0
100,2025-07-30,W,258,2025,7,30,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0,0,263.0,387.0,321.2857142857143,0
55A,2018-08-31,W,293,2018,8,31,4,0,2,107,15.0,5.0,0.0,0.0,10.0,0,0,344.0,391.0,362.57142857142856,1
10,2008-08-19,W,1122,2008,8,19,1,0,2,1,15.0,5.0,0.0,0.0,10.0,0,0,1217.0,1366.0,1345.7142857142858,1
71,2006-03-27,W,10776,2006,3,27,0,0,1,130,15.0,5.0,0.0,0.0,10.0,0,0,5814.0,10858.0,9878.142857142857,1
8A,2018-01-04,W,1797,2018,1,4,3,0,0,150,15.0,5.0,0.0,0.0,10.0,0,0,1824.0,1549.0,1402.7142857142858,0
8A,2025-01-26,U,1226,2025,1,26,6,1,0,150,0.0,0.0,0.0,0.0,0.0,0,0,1789.0,1051.0,1658.142857142857,0
55,2020-07-12,U,2455,2020,7,12,6,1,2,106,0.0,0.0,0.0,0.0,0.0,0,0,2766.0,2501.0,3263.8571428571427,0
85,2024-06-28,W,7138,2024,6,28,4,0,2,145,0.0,0.0,0.0,0.0,0.0,0,0,8274.0,7608.0,7083.571428571428,0
92,2006-03-01,W,8766,2006,3,1,2,0,1,155,15.0,5.0,0.0,0.0,10.0,0,0,7138.0,8149.0,6671.714285714285,1
80,2011-02-21,W,11614,2011,2,21,0,0,0,140,15.0,5.0,0.0,0.0,10.0,0,0,6471.0,15710.0,13488.57142857143,1
91,2024-03-26,W,3443,2024,3,26,1,0,1,154,0.0,0.0,0.0,0.0,0.0,0,0,3295.0,4258.0,3334.0,0
68,2005-05-19,W,1663,2005,5,19,3,0,1,125,15.0,5.0,0.0,0.0,10.0,0,0,1664.0,1847.0,1316.142857142857,1
76,2023-12-31,U,3069,2023,12,31,6,1,0,135,0.0,0.0,0.0,0.0,0.0,0,0,5218.0,3154.0,4723.142857142857,0
95E,2004-06-28,W,4902,2004,6,28,0,0,2,159,15.0,5.0,0.0,0.0,10.0,0,0,3343.0,5032.0,4349.0,0
51,2001-09-11,W,4471,2001,9,11,1,0,3,97,15.0,5.0,0.0,0.0,10.0,0,0,6822.0,7598.0,5305.714285714285,1
85A,2020-12-19,A,146,2020,12,19,5,1,0,146,0.0,0.0,0.0,0.0,0.0,0,0,248.0,273.0,328.57142857142856,0
67,2025-03-10,W,7247,2025,3,10,0,0,1,124,0.0,0.0,0.0,0.0,0.0,0,0,3997.0,7333.0,6453.857142857143,0
204,2002-01-25,W,1202,2002,1,25,4,0,0,63,15.0,5.0,0.0,0.0,10.0,0,0,1509.0,1309.0,1293.428571428571,0
7,2021-06-30,W,1546,2021,6,30,2,0,2,128,0.0,0.0,0.0,0.0,0.0,0,0,1548.0,1525.0,1464.7142857142858,0
125,2018-11-29,W,1185,2018,11,29,3,0,3,20,15.0,5.0,0.0,0.0,10.0,0,0,1352.0,1252.0,982.0,0
63W,2024-06-04,W,1377,2024,6,4,1,0,2,118,0.0,0.0,0.0,0.0,0.0,0,0,1225.0,1225.0,1062.2857142857142,0
43,2004-01-24,A,566,2004,1,24,5,1,0,88,15.0,5.0,0.0,0.0,10.0,0,0,1218.0,542.0,905.5714285714286,0
49B,2009-08-01,A,3735,2009,8,1,5,1,2,94,15.0,5.0,0.0,0.0,10.0,0,0,5364.0,4018.0,4766.0,0
X9,2008-05-12,W,11681,2008,5,12,0,0,1,185,15.0,5.0,0.0,0.0,10.0,0,0,12879.0,15057.0,12728.714285714286,1
92,2005-07-15,W,6802,2005,7,15,4,0,2,155,15.0,5.0,0.0,0.0,10.0,0,0,7128.0,6862.0,6092.428571428572,1
53AL,2007-11-15,W,885,2007,11,15,3,0,3,102,15.0,5.0,0.0,0.0,10.0,0,0,976.0,797.0,813.7142857142857,1
J14,2016-08-23,W,10929,2016,8,23,1,0,2,165,15.0,5.0,0.0,0.0,10.0,0,0,10633.0,10543.0,8746.142857142857,1
X98,2003-01-29,W,542,2003,1,29,2,0,0,186,15.0,5.0,0.0,0.0,10.0,0,0,500.0,545.0,437.1428571428572,1
21,2006-11-13,W,7325,2006,11,13,0,0,3,66,15.0,5.0,0.0,0.0,10.0,0,0,4917.0,7403.0,6893.0,0
4,2003-07-31,W,20464,2003,7,31,3,0,2,86,15.0,5.0,0.0,0.0,10.0,0,0,19558.0,20546.0,18773.571428571428,0
78,2001-02-19,W,7948,2001,2,19,0,0,0,137,15.0,5.0,0.0,0.0,10.0,0,0,3445.0,8926.0,8040.571428571428,1
119,2021-11-14,U,911,2021,11,14,6,1,3,13,0.0,0.0,0.0,0.0,0.0,0,0,1279.0,1068.0,1779.142857142857,0
17,2003-01-17,W,445,2003,1,17,4,0,0,48,15.0,5.0,0.0,0.0,10.0,0,0,467.0,551.0,573.7142857142857,0
111,2019-12-07,A,1725,2019,12,7,5,1,0,9,0.0,0.0,0.0,0.0,0.0,0,0,3144.0,1487.0,2731.428571428572,0
3,2007-11-09,W,18246,2007,11,9,4,0,3,76,15.0,5.0,0.0,0.0,10.0,0,0,23485.0,21175.0,20712.42857142857,0
65,2024-06-10,W,5904,2024,6,10,0,0,2,122,0.0,0.0,0.0,0.0,0.0,0,0,3024.0,5983.0,5501.285714285715,0
52,2017-04-05,W,9993,2017,4,5,2,0,1,98,15.0,5.0,0.0,0.0,10.0,0,0,11771.0,11216.0,9550.714285714286,0
77,2004-08-19,W,19800,2004,8,19,3,0,2,136,15.0,5.0,0.0,0.0,10.0,0,0,19080.0,19569.0,17717.85714285714,0
78,2024-06-22,A,4545,2024,6,22,5,1,2,137,0.0,0.0,0.0,0.0,0.0,0,0,5451.0,4557.0,5023.285714285715,0
5,2015-07-20,W,463,2015,7,20,0,0,2,95,15.0,5.0,0.0,0.0,10.0,0,0,466.0,322.0,484.0,0
85,2015-06-02,W,11731,2015,6,2,1,0,2,145,15.0,5.0,0.0,0.0,10.0,0,0,12171.0,10552.0,9596.0,1
95,2020-06-20,A,1302,2020,6,20,5,1,2,158,0.0,0.0,0.0,0.0,0.0,0,0,3857.0,1795.0,3192.0,0
82,2015-10-05,W,21397,2015,10,5,0,0,3,143,15.0,5.0,0.0,0.0,10.0,0,0,8323.0,21174.0,18472.85714285714,1
88,2014-06-08,U,469,2014,6,8,6,1,2,149,15.0,5.0,0.0,0.0,10.0,0,0,740.0,404.0,1128.142857142857,0
94,2005-12-04,U,3126,2005,12,4,6,1,0,157,15.0,5.0,0.0,0.0,10.0,0,0,5658.0,3301.0,9426.57142857143,0
51,2002-01-30,W,6518,2002,1,30,2,0,0,97,15.0,5.0,0.0,0.0,10.0,0,0,4722.0,4872.0,4640.714285714285,1
135,2014-08-14,W,3927,2014,8,14,3,0,2,28,15.0,5.0,0.0,0.0,10.0,0,0,3952.0,3980.0,3790.142857142857,1
53A,2007-12-10,W,8554,2007,12,10,0,0,0,101,15.0,5.0,0.0,0.0,10.0,0,0,1443.0,8663.0,6632.428571428572,1
77,2005-10-03,W,24701,2005,10,3,0,0,3,136,15.0,5.0,0.0,0.0,10.0,0,0,11297.0,24394.0,21678.0,1
69,2008-10-31,W,433,2008,10,31,4,0,3,126,15.0,5.0,0.0,0.0,10.0,0,0,472.0,437.0,469.7142857142857,0
30,2001-06-13,W,3074,2001,6,13,2,0,2,77,15.0,5.0,0.0,0.0,10.0,0,0,3413.0,3984.0,3093.714285714286,1
103,2001-04-16,W,3097,2001,4,16,0,0,1,5,15.0,5.0,0.0,0.0,10.0,0,0,1068.0,3650.0,2899.0,1
148,2011-06-15,W,2265,2011,6,15,2,0,2,37,15.0,5.0,0.0,0.0,10.0,0,0,3000.0,2240.0,2466.714285714286,1
146,2002-12-12,W,8902,2002,12,12,3,0,0,35,15.0,5.0,0.0,0.0,10.0,0,0,8433.0,8413.0,7593.142857142857,0
84,2019-11-25,W,3833,2019,11,25,0,0,3,144,0.0,0.0,0.0,0.0,0.0,0,0,1312.0,3803.0,3115.8571428571427,1
18,2015-04-12,U,2032,2015,4,12,6,1,1,54,15.0,5.0,0.0,0.0,10.0,0,0,2482.0,1678.0,2646.1428571428573,0
65,2006-03-27,W,6447,2006,3,27,0,0,1,122,15.0,5.0,0.0,0.0,10.0,0,0,1969.0,6735.0,5407.571428571428,0
82,2002-02-16,A,12300,2002,2,16,5,1,0,143,15.0,5.0,0.0,0.0,10.0,0,0,19886.0,12881.0,16714.14285714286,0
63,2011-01-11,W,19462,2011,1,11,1,0,0,117,15.0,5.0,0.0,0.0,10.0,0,0,20898.0,20208.0,17552.428571428572,1
85,2015-03-04,W,11236,2015,3,4,2,0,1,145,15.0,5.0,0.0,0.0,10.0,0,0,10744.0,10758.0,9348.142857142857,1
87,2011-01-02,U,6486,2011,1,2,6,1,0,148,15.0,5.0,0.0,0.0,10.0,0,0,6101.0,6329.0,10594.857142857143,0
81W,2009-02-16,W,1506,2009,2,16,0,0,0,142,15.0,5.0,0.0,0.0,10.0,0,0,740.0,1874.0,1618.428571428571,0
4,2020-09-12,A,5602,2020,9,12,5,1,3,86,0.0,0.0,0.0,0.0,0.0,0,0,7678.0,6064.0,6915.285714285715,0
15,2008-04-11,W,6749,2008,4,11,4,0,1,38,15.0,5.0,0.0,0.0,10.0,0,0,7845.0,8726.0,7794.285714285715,0
91,2010-03-12,W,8403,2010,3,12,4,0,1,154,15.0,5.0,0.0,0.0,10.0,0,0,8088.0,8777.0,7062.285714285715,1
121,2001-09-07,W,1472,2001,9,7,4,0,3,16,15.0,5.0,0.0,0.0,10.0,0,0,1369.0,1488.0,1200.571428571429,1
120,2019-09-16,W,735,2019,9,16,0,0,3,15,0.0,0.0,0.0,0.0,0.0,0,0,619.0,720.0,730.7142857142857,0
71,2022-03-30,W,4073,2022,3,30,2,0,1,130,0.0,0.0,0.0,0.0,0.0,0,0,4697.0,4375.0,3802.285714285714,0
22,2012-09-12,W,22903,2012,9,12,2,0,3,67,15.0,5.0,0.0,0.0,10.0,0,0,21197.0,22713.0,21107.714285714286,1
157,2023-10-03,W,6336,2023,10,3,1,0,3,44,0.0,0.0,0.0,0.0,0.0,0,0,5400.0,5102.0,5649.0,1
55,2025-10-28,W,8299,2025,10,28,1,0,3,106,0.0,0.0,0.0,0.0,0.0,0,0,7439.0,8134.0,7314.857142857143,0
75,2021-10-27,W,3711,2021,10,27,2,0,3,134,0.0,0.0,0.0,0.0,0.0,0,0,4175.0,4131.0,3381.8571428571427,0
75,2003-04-13,U,4533,2003,4,13,6,1,1,134,15.0,5.0,0.0,0.0,10.0,0,0,6136.0,3957.0,7198.285714285715,0
55,2006-08-28,W,9232,2006,8,28,0,0,2,106,15.0,5.0,0.0,0.0,10.0,0,0,7577.0,11190.0,10965.0,0
51,2020-04-24,W,339,2020,4,24,4,0,1,97,0.0,0.0,0.0,0.0,0.0,0,0,437.0,354.0,330.7142857142857,0
119,2007-09-04,W,6564,2007,9,4,1,0,3,13,15.0,5.0,0.0,0.0,10.0,0,0,3539.0,5490.0,5131.0,1
3,2024-10-16,W,15722,2024,10,16,2,0,3,76,0.0,0.0,0.0,0.0,0.0,0,0,13277.0,16781.0,13230.857142857143,0
115,2018-01-31,W,3211,2018,1,31,2,0,0,12,15.0,5.0,0.0,0.0,10.0,0,0,3107.0,3033.0,2596.714285714286,1
90N,2004-07-21,W,426,2004,7,21,2,0,2,153,15.0,5.0,0.0,0.0,10.0,0,0,532.0,533.0,383.57142857142856,0
120,2022-08-04,W,136,2022,8,4,3,0,2,15,0.0,0.0,0.0,0.0,0.0,0,0,190.0,247.0,190.28571428571428,0
71,2005-06-26,U,6385,2005,6,26,6,1,2,130,15.0,5.0,0.0,0.0,10.0,0,0,7589.0,7330.0,9666.857142857143,0
122,2012-12-10,W,495,2012,12,10,0,0,0,17,15.0,5.0,0.0,0.0,10.0,0,0,396.0,513.0,477.7142857142857,0
80,2022-07-31,U,3538,2022,7,31,6,1,2,140,0.0,0.0,0.0,0.0,0.0,0,0,4441.0,3306.0,5614.428571428572,0
49B,2007-09-22,A,4066,2007,9,22,5,1,3,94,15.0,5.0,0.0,0.0,10.0,0,0,5670.0,2786.0,4581.142857142857,0
111A,2021-05-05,W,184,2021,5,5,2,0,1,10,0.0,0.0,0.0,0.0,0.0,0,0,126.0,122.0,150.14285714285714,0
17,2004-08-20,W,494,2004,8,20,4,0,2,48,15.0,5.0,0.0,0.0,10.0,0,0,350.0,401.0,432.2857142857143,0
X98,2012-02-11,A,33,2012,2,11,5,1,0,186,15.0,5.0,0.0,0.0,10.0,0,0,222.0,211.0,185.42857142857144,0
35,2012-06-16,A,3361,2012,6,16,5,1,2,81,15.0,5.0,0.0,0.0,10.0,0,0,5315.0,3674.0,4524.571428571428,0
53A,2026-02-07,A,1115,2026,2,7,5,1,0,101,0.0,0.0,0.0,0.0,0.0,0,0,2634.0,1011.0,2342.428571428572,0
12,2002-01-18,W,10499,2002,1,18,4,0,0,14,15.0,5.0,0.0,0.0,10.0,0,0,10711.0,10532.0,8978.285714285714,0
38,2007-03-12,W,1555,2007,3,12,0,0,1,84,15.0,5.0,0.0,0.0,10.0,0,0,1647.0,1618.0,1633.428571428571,0
82,2021-07-15,W,7908,2021,7,15,3,0,2,143,0.0,0.0,0.0,0.0,0.0,0,0,8194.0,8121.0,7400.285714285715,0
135,2021-05-20,W,318,2021,5,20,3,0,1,28,0.0,0.0,0.0,0.0,0.0,0,0,352.0,383.0,334.42857142857144,0
56,2009-05-13,W,12579,2009,5,13,2,0,1,109,15.0,5.0,0.0,0.0,10.0,0,0,13137.0,13537.0,12386.714285714286,1
35,2009-11-22,U,2363,2009,11,22,6,1,3,81,15.0,5.0,0.0,0.0,10.0,0,0,3843.0,2209.0,4835.714285714285,0
X28,2010-08-18,W,4293,2010,8,18,2,0,2,178,15.0,5.0,0.0,0.0,10.0,0,0,4000.0,3394.0,3698.571428571429,1
82,2012-11-10,A,13282,2012,11,10,5,1,3,143,15.0,5.0,0.0,0.0,10.0,0,0,23038.0,13417.0,19445.0,0
103,2007-08-20,W,2633,2007,8,20,0,0,2,5,15.0,5.0,0.0,0.0,10.0,0,0,932.0,2699.0,2304.8571428571427,0
94,2007-05-17,W,11078,2007,5,17,3,0,1,157,15.0,5.0,0.0,0.0,10.0,0,0,10785.0,11224.0,9098.0,1
20,2013-01-21,W,11184,2013,1,21,0,0,0,58,15.0,5.0,0.0,0.0,10.0,0,0,7246.0,20616.0,17680.571428571428,0
54B,2019-02-04,W,2375,2019,2,4,0,0,0,105,15.0,5.0,0.0,0.0,10.0,0,0,1217.0,1875.0,1507.2857142857142,0
111,2003-06-18,W,5211,2003,6,18,2,0,2,9,15.0,5.0,0.0,0.0,10.0,0,0,6445.0,6001.0,5165.0,1
67,2024-08-21,W,5442,2024,8,21,2,0,2,124,0.0,0.0,0.0,0.0,0.0,0,0,5638.0,5488.0,4978.142857142857,0
3,2008-10-10,W,25848,2008,10,10,4,0,3,76,15.0,5.0,0.0,0.0,10.0,0,0,24692.0,24716.0,20976.14285714286,1
169,2022-09-21,W,208,2022,9,21,2,0,3,47,0.0,0.0,0.0,0.0,0.0,0,0,36.0,55.0,56.85714285714285,0
30,2024-12-30,W,1372,2024,12,30,0,0,0,77,0.0,0.0,0.0,0.0,0.0,0,0,705.0,1525.0,1473.428571428571,0
49B,2018-07-04,U,2985,2018,7,4,2,1,2,94,15.0,5.0,0.0,0.0,10.0,0,0,5074.0,4942.0,4524.714285714285,0
134,2008-01-11,W,2869,2008,1,11,4,0,0,27,15.0,5.0,0.0,0.0,10.0,0,0,3221.0,3052.0,3131.1428571428573,1
79,2016-03-06,U,14942,2016,3,6,6,1,1,138,15.0,5.0,0.0,0.0,10.0,0,0,19028.0,14784.0,24002.714285714286,0
5,2017-03-28,W,392,2017,3,28,1,0,1,95,15.0,5.0,0.0,0.0,10.0,0,0,335.0,435.0,400.4285714285714,0
79,2007-08-11,A,30082,2007,8,11,5,1,2,138,15.0,5.0,0.0,0.0,10.0,0,0,32153.0,25657.0,28973.85714285714,1
151,2017-06-07,W,16697,2017,6,7,2,0,2,39,15.0,5.0,0.0,0.0,10.0,0,0,16195.0,15713.0,15205.42857142857,0
81,2004-03-20,A,11084,2004,3,20,5,1,1,141,15.0,5.0,0.0,0.0,10.0,0,0,13733.0,10349.0,12546.285714285714,0
36,2022-11-17,W,10305,2022,11,17,3,0,3,82,0.0,0.0,0.0,0.0,0.0,0,0,10193.0,10360.0,9459.57142857143,0
62H,2020-02-01,A,488,2020,2,1,5,1,0,116,0.0,0.0,0.0,0.0,0.0,0,0,860.0,943.0,922.2857142857144,0
100,2022-10-24,W,372,2022,10,24,0,0,3,2,0.0,0.0,0.0,0.0,0.0,0,0,317.0,431.0,370.8571428571428,0
94,2007-04-03,W,9158,2007,4,3,1,0,1,157,15.0,5.0,0.0,0.0,10.0,0,0,9758.0,10355.0,8614.285714285714,0
147,2005-10-06,W,13063,2005,10,6,3,0,3,36,15.0,5.0,0.0,0.0,10.0,0,0,13163.0,11974.0,11022.42857142857,1
54,2010-01-15,W,8669,2010,1,15,4,0,0,103,15.0,5.0,0.0,0.0,10.0,0,0,8204.0,7200.0,7632.428571428572,0
95W,2010-03-21,U,2711,2010,3,21,6,1,1,160,15.0,5.0,0.0,0.0,10.0,0,0,3369.0,2838.0,4637.857142857143,0
33,2004-11-05,W,542,2004,11,5,4,0,3,79,15.0,5.0,0.0,0.0,10.0,0,0,508.0,543.0,591.0,0
31,2024-03-18,W,966,2024,3,18,0,0,1,78,0.0,0.0,0.0,0.0,0.0,0,0,557.0,1111.0,696.5714285714286,1
6,2008-05-28,W,11975,2008,5,28,2,0,1,113,15.0,5.0,0.0,0.0,10.0,0,0,11701.0,12494.0,11500.857142857143,1
100,2004-02-17,W,1153,2004,2,17,1,0,0,2,15.0,5.0,0.0,0.0,10.0,0,0,483.0,1061.0,874.8571428571429,1
55N,2016-06-22,W,484,2016,6,22,2,0,2,108,15.0,5.0,0.0,0.0,10.0,0,0,534.0,587.0,519.0,0
39,2022-08-28,U,426,2022,8,28,6,1,2,85,0.0,0.0,0.0,0.0,0.0,0,0,348.0,251.0,1085.428571428571,0
48,2014-12-12,W,1149,2014,12,12,4,0,0,91,15.0,5.0,0.0,0.0,10.0,0,0,1262.0,1318.0,1296.7142857142858,1
72,2018-09-05,W,14284,2018,9,5,2,0,3,131,15.0,5.0,0.0,0.0,10.0,0,0,14964.0,13597.0,11964.142857142857,0
90,2013-11-25,W,4504,2013,11,25,0,0,3,152,15.0,5.0,0.0,0.0,10.0,0,0,2033.0,5241.0,4826.0,0
2,2018-10-09,W,3735,2018,10,9,1,0,3,57,15.0,5.0,0.0,0.0,10.0,0,0,3430.0,3515.0,3532.0,1
4,2007-04-01,U,12822,2007,4,1,6,1,1,86,15.0,5.0,0.0,0.0,10.0,0,0,17630.0,12806.0,20177.14285714286,0
132,2011-06-17,W,252,2011,6,17,4,0,2,26,15.0,5.0,0.0,0.0,10.0,0,0,361.0,432.0,370.8571428571428,0
11,2014-08-08,W,1564,2014,8,8,4,0,2,8,15.0,5.0,0.0,0.0,10.0,0,0,1577.0,1558.0,1419.0,0
55,2013-01-14,W,12127,2013,1,14,0,0,0,106,15.0,5.0,0.0,0.0,10.0,0,0,5798.0,12530.0,11427.142857142857,1
35,2023-07-22,A,1920,2023,7,22,5,1,2,81,0.0,0.0,0.0,0.0,0.0,0,0,2840.0,1929.0,2608.428571428572,0
X98,2012-02-10,W,222,2012,2,10,4,0,0,186,15.0,5.0,0.0,0.0,10.0,0,0,221.0,192.0,181.14285714285717,1
100,2022-08-22,W,400,2022,8,22,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0,0,413.0,301.0,329.2857142857143,0
78,2002-11-30,A,6139,2002,11,30,5,1,3,137,15.0,5.0,0.0,0.0,10.0,0,0,5948.0,6831.0,6513.428571428572,0
36,2019-03-15,W,12322,2019,3,15,4,0,1,82,15.0,5.0,0.0,0.0,10.0,0,0,11510.0,12267.0,11428.142857142857,0
169,2015-06-12,W,190,2015,6,12,4,0,2,47,15.0,5.0,0.0,0.0,10.0,0,0,241.0,225.0,204.0,0
50,2014-02-24,W,11234,2014,2,24,0,0,0,96,15.0,5.0,0.0,0.0,10.0,0,0,4133.0,7852.0,9066.42857142857,1
81,2020-06-20,A,4173,2020,6,20,5,1,2,141,0.0,0.0,0.0,0.0,0.0,0,0,4368.0,3524.0,4130.571428571428,0
63,2003-01-21,W,22621,2003,1,21,1,0,0,117,15.0,5.0,0.0,0.0,10.0,0,0,12773.0,20009.0,17146.714285714286,1
145,2010-10-30,A,4058,2010,10,30,5,1,3,34,15.0,5.0,0.0,0.0,10.0,0,0,6687.0,4262.0,5832.0,0
155,2018-10-28,U,3975,2018,10,28,6,1,3,42,15.0,5.0,0.0,0.0,10.0,0,0,5210.0,4052.0,6170.571428571428,0
96,2025-05-08,W,669,2025,5,8,3,0,1,161,0.0,0.0,0.0,0.0,0.0,0,0,738.0,183.0,605.2857142857143,0
J14,2021-09-04,A,3028,2021,9,4,5,1,3,165,0.0,0.0,0.0,0.0,0.0,0,0,5376.0,2899.0,4522.142857142857,0
80,2003-05-05,W,12079,2003,5,5,0,0,1,140,15.0,5.0,0.0,0.0,10.0,0,0,5970.0,12539.0,10734.42857142857,1
22,2021-12-22,W,8162,2021,12,22,2,0,0,67,0.0,0.0,0.0,0.0,0.0,0,0,8663.0,10734.0,9091.42857142857,0
34,2017-03-19,U,2598,2017,3,19,6,1,1,80,15.0,5.0,0.0,0.0,10.0,0,0,3333.0,2474.0,4076.0,0
66,2006-08-05,A,17419,2006,8,5,5,1,2,123,15.0,5.0,0.0,0.0,10.0,0,0,22735.0,14286.0,18135.14285714286,0
34,2013-02-27,W,6110,2013,2,27,2,0,0,80,15.0,5.0,0.0,0.0,10.0,0,0,5604.0,6289.0,5284.0,1
112,2022-01-23,U,237,2022,1,23,6,1,0,11,0.0,0.0,0.0,0.0,0.0,0,0,357.0,268.0,713.4285714285714,0
54B,2002-06-03,W,4616,2002,6,3,0,0,2,105,15.0,5.0,0.0,0.0,10.0,0,0,3040.0,2684.0,4182.571428571428,1
76,2020-03-15,U,3037,2020,3,15,6,1,1,135,0.0,0.0,0.0,0.0,0.0,0,0,4732.0,4867.0,9051.857142857143,0
108,2014-11-03,W,1845,2014,11,3,0,0,3,7,15.0,5.0,0.0,0.0,10.0,0,0,1287.0,1589.0,1570.2857142857142,0
19,2019-11-07,W,300,2019,11,7,3,0,3,55,0.0,0.0,0.0,0.0,0.0,0,0,336.0,224.0,181.42857142857144,0
86,2024-02-02,W,1760,2024,2,2,4,0,0,147,0.0,0.0,0.0,0.0,0.0,0,0,2168.0,2077.0,2079.714285714286,0
106,2005-08-12,W,1136,2005,8,12,4,0,2,6,15.0,5.0,0.0,0.0,10.0,0,0,948.0,1809.0,1146.0,0
