route,date,daytype,rides,year,month,day,day_of_week,is_weekend,season,route_encoded,TMAX,TMIN,PRCP,SNOW,AWND,is_rainy,is_snowy,rides_lag_1,rides_lag_7,rides_rolling_7,high_load
172,2022-11-11,W,1340,2022,11,11,4,0,3,51,0.0,0.0,0.0,0.0,0.0,0,0,2062.0,1582.0,1335.857142857143,0
94,2015-05-02,A,5194,2015,5,2,5,1,1,157,15.0,5.0,0.0,0.0,10.0,0,0,10438.0,4549.0,8573.0,0
53,2013-09-04,W,23910,2013,9,4,2,0,3,100,15.0,5.0,0.0,0.0,10.0,0,0,25107.0,22997.0,18690.0,1
76,2003-08-05,W,13549,2003,8,5,1,0,2,135,15.0,5.0,0.0,0.0,10.0,0,0,11867.0,12522.0,10605.857142857143,1
75,2011-10-04,W,9035,2011,10,4,1,0,3,134,15.0,5.0,0.0,0.0,10.0,0,0,9224.0,9358.0,7914.714285714285,1
85A,2024-08-17,A,310,2024,8,17,5,1,2,146,0.0,0.0,0.0,0.0,0.0,0,0,641.0,637.0,620.7142857142857,0
95E,2009-04-07,W,4683,2009,4,7,1,0,1,159,15.0,5.0,0.0,0.0,10.0,0,0,4455.0,5281.0,4542.857142857143,0
26,2017-03-23,W,4150,2017,3,23,3,0,1,70,15.0,5.0,0.0,0.0,10.0,0,0,4330.0,3491.0,4061.0,1
56,2008-08-19,W,14497,2008,8,19,1,0,2,109,15.0,5.0,0.0,0.0,10.0,0,0,14536.0,14528.0,12577.714285714286,1
120,2015-11-27,W,87,2015,11,27,4,0,3,15,15.0,5.0,0.0,0.0,10.0,0,0,492.0,1064.0,902.1428571428572,0
30,2010-01-07,W,3116,2010,1,7,3,0,0,77,15.0,5.0,0.0,0.0,10.0,0,0,3491.0,1924.0,2100.0,1
146,2019-07-23,W,13569,2019,7,23,1,0,2,35,0.0,0.0,0.0,0.0,0.0,0,0,12808.0,13643.0,11474.142857142857,1
146,2013-12-09,W,16386,2013,12,9,0,0,0,35,15.0,5.0,0.0,0.0,10.0,0,0,8930.0,14361.0,13757.285714285714,1
66,2003-11-20,W,21630,2003,11,20,3,0,3,123,15.0,5.0,0.0,0.0,10.0,0,0,20954.0,20396.0,18136.85714285714,0
51,2005-09-06,W,2523,2005,9,6,1,0,3,97,15.0,5.0,0.0,0.0,10.0,0,0,1447.0,2228.0,2065.8571428571427,1
70,2013-04-19,W,9771,2013,4,19,4,0,1,129,15.0,5.0,0.0,0.0,10.0,0,0,8337.0,10500.0,8653.857142857143,1
112,2012-01-02,U,913,2012,1,2,0,1,0,11,15.0,5.0,0.0,0.0,10.0,0,0,738.0,1029.0,1528.0,0
39,2007-03-26,W,1826,2007,3,26,0,0,1,85,15.0,5.0,0.0,0.0,10.0,0,0,1741.0,1922.0,1882.857142857143,0
1,2024-12-04,W,1154,2024,12,4,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1270.0,790.0,833.2857142857143,0
11,2010-02-08,W,5111,2010,2,8,0,0,0,8,15.0,5.0,0.0,0.0,10.0,0,0,1378.0,5774.0,4709.142857142857,1
J14,2023-11-26,U,1956,2023,11,26,6,1,3,165,0.0,0.0,0.0,0.0,0.0,0,0,2790.0,2477.0,3416.285714285714,0
22,2022-09-23,W,11174,2022,9,23,4,0,3,67,0.0,0.0,0.0,0.0,0.0,0,0,12571.0,11929.0,11142.142857142857,0
172,2013-03-03,U,622,2013,3,3,6,1,1,51,15.0,5.0,0.0,0.0,10.0,0,0,821.0,508.0,2402.1428571428573,0
X9,2024-02-08,W,6603,2024,2,8,3,0,0,185,0.0,0.0,0.0,0.0,0.0,0,0,6549.0,6151.0,6419.428571428572,0
121,2021-08-03,W,193,2021,8,3,1,0,2,16,0.0,0.0,0.0,0.0,0.0,0,0,158.0,116.0,162.85714285714286,0
119,2019-05-19,U,2118,2019,5,19,6,1,1,13,15.0,5.0,0.0,0.0,10.0,0,0,2805.0,2234.0,3791.0,0
80,2018-03-19,W,10324,2018,3,19,0,0,1,140,15.0,5.0,0.0,0.0,10.0,0,0,5714.0,10821.0,9651.285714285714,0
112,2017-01-12,W,2255,2017,1,12,3,0,0,11,15.0,5.0,0.0,0.0,10.0,0,0,2378.0,1307.0,1545.857142857143,0
